time,flux,cumulative_flux,normalised_flux,yCO2_bl,pressure
323491.30000019073,0.004410753417286829,1162.6159234915758,0.9793769386397009,0.0005854494,198.923
323501.30000019073,0.004408530898554894,1162.6600088005614,0.9788834439040347,0.0005851543999999999,198.923
323511.30000019073,0.004408530898554894,1162.704094109547,0.9788834439040347,0.0005851543999999999,199.145
323521.30000019073,0.004419643492214565,1162.7482905444692,0.981350917582364,0.0005866293999999999,198.923
323531.30000019073,0.004412975936018764,1162.7924203038294,0.9798704333753668,0.0005857443999999999,198.923
323541.30000019073,0.004406315913784763,1162.8364834629672,0.9783916220318798,0.0005848603999999999,198.923
323551.30000019073,0.0044151984547506976,1162.8806354475146,0.9803639281110326,0.0005860393999999999,198.701
323561.30000019073,0.0044151984547506976,1162.924787432062,0.9803639281110326,0.0005860393999999999,198.923
323571.30000019073,0.004419643492214565,1162.9689838669842,0.981350917582364,0.0005866293999999999,198.923
323581.30100011826,0.004410753417286829,1163.0130958115908,0.9793769386397009,0.0005854494,198.923
323591.30000019073,0.0044151984547506976,1163.05724338126,0.9803639281110326,0.0005860393999999999,199.145
323601.30000019073,0.004408530898554894,1163.1013286902455,0.9788834439040347,0.0005851543999999999,198.479
323611.30000019073,0.004412975936018764,1163.1454584496057,0.9798704333753668,0.0005857443999999999,198.701
323621.30000019073,0.004404093395052829,1163.1894993835563,0.9778981272962141,0.0005845653999999999,199.145
323631.30000019073,0.004412975936018764,1163.2336291429165,0.9798704333753668,0.0005857443999999999,198.701
323641.30000019073,0.0044151984547506976,1163.2777811274639,0.9803639281110326,0.0005860393999999999,198.923
323651.30000019073,0.0044151984547506976,1163.3219331120113,0.9803639281110326,0.0005860393999999999,198.923
323661.30000019073,0.004417420973482631,1163.366107321746,0.9808574228466983,0.0005863343999999999,198.701
323671.30000019073,0.0044151984547506976,1163.4102593062935,0.9803639281110326,0.0005860393999999999,198.923
323681.30000019073,0.004417420973482631,1163.4544335160283,0.9808574228466983,0.0005863343999999999,199.145
323691.30100011826,0.004419643492214565,1163.4986343702735,0.981350917582364,0.0005866293999999999,198.923
323701.30000019073,0.004410753417286829,1163.5427374940127,0.9793769386397009,0.0005854494,198.701
323711.30000019073,0.004412975936018764,1163.586867253373,0.9798704333753668,0.0005857443999999999,198.701
323721.30000019073,0.004408530898554894,1163.6309525623585,0.9788834439040347,0.0005851543999999999,198.923
323731.30000019073,0.004419643492214565,1163.6751489972808,0.981350917582364,0.0005866293999999999,199.145
323741.30000019073,0.004410753417286829,1163.7192565314535,0.9793769386397009,0.0005854494,198.923
323751.30000019073,0.004412975936018764,1163.7633862908137,0.9798704333753668,0.0005857443999999999,198.923
323761.30000019073,0.004419643492214565,1163.807582725736,0.981350917582364,0.0005866293999999999,198.923
323771.30000019073,0.0044151984547506976,1163.8517347102834,0.9803639281110326,0.0005860393999999999,198.923
323781.30000019073,0.004404093395052829,1163.895775644234,0.9778981272962141,0.0005845653999999999,198.923
323791.30000019073,0.004412975936018764,1163.9399054035941,0.9798704333753668,0.0005857443999999999,198.923
323801.30000019073,0.0044151984547506976,1163.9840573881415,0.9803639281110326,0.0005860393999999999,198.701
323811.30000019073,0.004408530898554894,1164.0281426971271,0.9788834439040347,0.0005851543999999999,199.145
323821.30000019073,0.004408530898554894,1164.0722280061127,0.9788834439040347,0.0005851543999999999,198.701
323831.30100011826,0.0044151984547506976,1164.1163844055386,0.9803639281110326,0.0005860393999999999,198.923
